exclamation_question_mark (2049)
trade_mark (2122)
information (2139)
leftright_arrow (2194)
updown_arrow (2195)
upleft_arrow (2196)
upright_arrow (2197)
downright_arrow (2198)
downleft_arrow (2199)
keyboard (2328)
sun (2600)
cloud (2601)
umbrella (2602)
snowman (2603)
comet (2604)
check_box_with_check (2611)
umbrella_with_rain_drops (2614)
hot_beverage (2615)
shamrock (2618)
skull_and_crossbones (2620)
radioactive (2622)
biohazard (2623)
orthodox_cross (2626)
wheel_of_dharma (2638)
frowning_face (2639)
female_sign (2640)
male_sign (2642)
aries (2648)
taurus (2649)
sagittarius (2650)
capricorn (2651)
aquarius (2652)
pisces (2653)
spade_suit (2660)
club_suit (2663)
heart_suit (2665)
diamond_suit (2666)
hot_springs (2668)
hammer_and_pick (2692)
anchor (2693)
crossed_swords (2694)
medical_symbol (2695)
balance_scale (2696)
alembic (2697)
gear (2699)
scissors (2702)
check_mark_button (2705)
airplane (2708)
envelope (2709)
black_nib (2712)
check_mark (2714)
multiply (2716)
star_of_david (2721)
sparkles (2728)
eightspoked_asterisk (2733)
eightpointed_star (2734)
snowflake (2744)
sparkle (2747)
red_question_mark (2753)
white_question_mark (2754)
white_exclamation_mark (2755)
red_exclamation_mark (2757)
heart_exclamation (2763)
red_heart (2764)
plus (2795)
minus (2796)
divide (2797)
right_arrow_curving_up (2934)
right_arrow_curving_down (2935)
wavy_dash (3030)
japanese_congratulations_button (3297)
japanese_secret_button (3299)
grinning_face (1f600)
grinning_face_with_big_eyes (1f603)
grinning_face_with_smiling_eyes (1f604)
beaming_face_with_smiling_eyes (1f601)
grinning_squinting_face (1f606)
grinning_face_with_sweat (1f605)
rolling_on_the_floor_laughing (1f923)
face_with_tears_of_joy (1f602)
slightly_smiling_face (1f642)
upsidedown_face (1f643)
winking_face (1f609)
smiling_face_with_smiling_eyes (1f60a)///////////////////////
smiling_face_with_halo (1f607)
smiling_face_with_hearts (1f970)
smiling_face_with_hearteyes (1f60d)
starstruck (1f929)
face_blowing_a_kiss (1f618)
kissing_face (1f617)
smiling_face (263a)
kissing_face_with_closed_eyes (1f61a)
kissing_face_with_smiling_eyes (1f619)  
smiling_face_with_tear (1f972)
face_savoring_food (1f60b)
face_with_tongue (1f61b)
winking_face_with_tongue (1f61c)
zany_face (1f92a)
squinting_face_with_tongue (1f61d)
moneymouth_face (1f911)
hugging_face (1f917)
face_with_hand_over_mouth (1f92d)
shushing_face (1f92b)
thinking_face (1f914)
zippermouth_face (1f910)
face_with_raised_eyebrow (1f928)
neutral_face (1f610)
expressionless_face (1f611)
face_without_mouth (1f636)
face_in_clouds (1f636_200d_1f32b)
smirking_face (1f60f)
unamused_face (1f612)
face_with_rolling_eyes (1f644)
grimacing_face (1f62c)
face_exhaling (1f62e_200d_1f4a8)
lying_face (1f925)
relieved_face (1f60c)
pensive_face (1f614)
sleepy_face (1f62a)
drooling_face (1f924)
sleeping_face (1f634)
face_with_medical_mask (1f637)
face_with_thermometer (1f912)
face_with_headbandage (1f915)
nauseated_face (1f922)
face_vomiting (1f92e)
sneezing_face (1f927)
hot_face (1f975)
cold_face (1f976)
woozy_face (1f974)
knockedout_face (1f635)
face_with_spiral_eyes (1f635_200d_1f4ab)
exploding_head (1f92f)
cowboy_hat_face (1f920)
partying_face (1f973)
disguised_face (1f978)
smiling_face_with_sunglasses (1f60e)
nerd_face (1f913)
face_with_monocle (1f9d0)
confused_face (1f615)
worried_face (1f61f)
slightly_frowning_face (1f641)
face_with_open_mouth (1f62e)
hushed_face (1f62f)
astonished_face (1f632)
flushed_face (1f633)
pleading_face (1f97a)
frowning_face_with_open_mouth (1f626)
anguished_face (1f627)
fearful_face (1f628)
anxious_face_with_sweat (1f630)
sad_but_relieved_face (1f625)
crying_face (1f622)
loudly_crying_face (1f62d)
face_screaming_in_fear (1f631)//////////////////
confounded_face (1f616)
persevering_face (1f623)
disappointed_face (1f61e)
downcast_face_with_sweat (1f613)
weary_face (1f629)
tired_face (1f62b)
yawning_face (1f971)
face_with_steam_from_nose (1f624)
pouting_face (1f621)
angry_face (1f620)
face_with_symbols_on_mouth (1f92c)
smiling_face_with_horns (1f608)
angry_face_with_horns (1f47f)
skull (1f480)
pile_of_poo (1f4a9)
clown_face (1f921)
ogre (1f479)
goblin (1f47a)
ghost (1f47b)
alien (1f47d)
alien_monster (1f47e)
robot (1f916)
grinning_cat (1f63a)
grinning_cat_with_smiling_eyes (1f638)
cat_with_tears_of_joy (1f639)
smiling_cat_with_hearteyes (1f63b)
cat_with_wry_smile (1f63c)
kissing_cat (1f63d)
weary_cat (1f640)
crying_cat (1f63f)
pouting_cat (1f63e)
seenoevil_monkey (1f648)
hearnoevil_monkey (1f649)
speaknoevil_monkey (1f64a)
kiss_mark (1f48b)
love_letter (1f48c)
heart_with_arrow (1f498)
heart_with_ribbon (1f49d)
sparkling_heart (1f496)
growing_heart (1f497)
beating_heart (1f493)
revolving_hearts (1f49e)
two_hearts (1f495)
heart_decoration (1f49f)
broken_heart (1f494)
heart_on_fire (2764_200d_1f525)
mending_heart (2764_200d_1fa79)
orange_heart (1f9e1)
yellow_heart (1f49b)
green_heart (1f49a)
blue_heart (1f499)
purple_heart (1f49c)
brown_heart (1f90e)
black_heart (1f5a4)
white_heart (1f90d)/////////////////////////
hundred_points (1f4af)
anger_symbol (1f4a2)
collision (1f4a5)
dizzy (1f4ab)
sweat_droplets (1f4a6)
dashing_away (1f4a8)
hole (1f573)
bomb (1f4a3)
speech_balloon (1f4ac)
i_witness (1f441_200d_1f5e8)
left_speech_bubble (1f5e8)
right_anger_bubble (1f5ef)
thought_balloon (1f4ad)
zzz (1f4a4)
mechanical_arm (1f9be)
mechanical_leg (1f9bf)
brain (1f9e0)
anatomical_heart (1fac0)
lungs (1fac1)
tooth (1f9b7)
bone (1f9b4)
eyes (1f440)
eye (1f441)
tongue (1f445)
mouth (1f444)
genie (1f9de)
zombie (1f9df)
people_with_bunny_ears (1f46f)
person_fencing (1f93a)
skier (26f7)
family (1f46a)
speaking_head (1f5e3)
bust_in_silhouette (1f464)
busts_in_silhouette (1f465)
people_hugging (1fac2)
footprints (1f463)
light_skin_tone (1f3fb)
mediumlight_skin_tone (1f3fc)
medium_skin_tone (1f3fd)
mediumdark_skin_tone (1f3fe)
dark_skin_tone (1f3ff)
red_hair (1f9b0)
curly_hair (1f9b1)
white_hair (1f9b3)
bald (1f9b2)
monkey_face (1f435)
monkey (1f412)
gorilla (1f98d)
orangutan (1f9a7)
dog_face (1f436)
dog (1f415)
guide_dog (1f9ae)
service_dog (1f415_200d_1f9ba)
poodle (1f429)
wolf (1f43a)
fox (1f98a)
raccoon (1f99d)
cat_face (1f431)
cat (1f408)
black_cat (1f408_200d_2b1b)////////
lion (1f981)
tiger_face (1f42f)
tiger (1f405)
leopard (1f406)
horse_face (1f434)
horse (1f40e)
